activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,canonical_smiles,target_chembl_id,target_organism,standard_type,type,effective_type,standard_relation,relation,effective_relation,standard_value,standard_upper_value,standard_units,pchembl_value,value,upper_value,units,activity_comment,standard_text_value,text_value,data_validity_comment,potential_duplicate,activity_properties_json,exact_ic50,non_exact_ic50,interval_ic50,right_censored_ic50,left_censored_ic50,text_contains_inactive,single_point_inhibition,missing_structure,potential_duplicate_true,has_validity_comment,missing_target_organism,has_standard_text_value,descriptive_flags
3301186,CHEMBL1118499,CHEMBL1155439,CHEMBL1086082,COc1cccc(-c2csc(NC(=O)Cn3cnc4c3c(=O)n(C)c(=O)n4C)n2)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301187,CHEMBL1118499,CHEMBL1155439,CHEMBL1086097,CCOc1ccccc1-c1csc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)n1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301188,CHEMBL1118499,CHEMBL1155439,CHEMBL1086338,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3cccc(Cl)c3)cs2)n(C)c1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
8011668,CHEMBL1944172,CHEMBL1938315,CHEMBL1939991,CCOC(=O)C1=C(c2ccccc2)NC(=S)NC1c1cccc(OC)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011669,CHEMBL1944172,CHEMBL1938315,CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011670,CHEMBL1944172,CHEMBL1938315,CHEMBL1388908,S=C(NCc1ccccc1)NCc1ccccc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011671,CHEMBL1944172,CHEMBL1938315,CHEMBL1492420,SC1=NC(c2ccccc2)=CC(c2ccccc2)N1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011672,CHEMBL1944172,CHEMBL1938315,CHEMBL1939988,S=C1NC2=C(CCc3ccccc32)C(c2ccccc2)N1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011673,CHEMBL1944172,CHEMBL1938315,CHEMBL1469047,SC1=NC2=C(CCC/C2=C\c2ccccc2)C(c2ccccc2)N1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011674,CHEMBL1944172,CHEMBL1938315,CHEMBL1939989,S=C1NC2=C(CCC2)C(c2ccccc2)N1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011675,CHEMBL1944172,CHEMBL1938315,CHEMBL1939986,S=C1NC2=C(CCCC2)C(c2ccccc2)N1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011676,CHEMBL1944172,CHEMBL1938315,CHEMBL1364775,O=C1CCCC2=C1C(c1ccccc1)NC(S)=N2,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
