inchikey,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,year_min,year_max,n_documents,n_assays
QXACEHWTBCFNSA-SFQUDFHCSA-N,CCCCCc1cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c1,CHEMBL497318,4.89,4.89,4.89,,1,2021,2021,1,1
QXBQEVYVRMWQJO-JQRITLKVSA-N,COCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,CHEMBL5962371,8.52,8.52,8.52,,1,2019,2019,1,1
QXBSEULNTNAFNO-UHFFFAOYSA-N,COCCCOc1cccc(C2NC(=S)Nc3c2oc2c(F)cccc32)c1,CHEMBL3314488,6.7,6.7,6.7,,1,2014,2014,1,1
QXLPITFISDKGCL-LBPRGKRZSA-N,NC(=O)c1csc2ncn(Cc3nnn(C[C@H](O)c4cc5ccccc5s4)n3)c(=O)c12,CHEMBL5179888,7.89,7.89,7.89,,1,2022,2022,1,1
QXOZMIUQRZZTIE-UHFFFAOYSA-N,CC(C)C(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccc(C#N)cc1,CHEMBL2071502,6.4,6.4,6.4,,1,2012,2012,1,1
QXUVGAUHCZPSAQ-FOLVSLTJSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6cc(F)cc(F)c6)C[C@@H]54)no3)c(=O)c21,CHEMBL5967246,8.1,7.69,8.51,0.5798275605729689,2,2020,2020,1,2
QYYUODQVSQCLPQ-BBRMVZONSA-N,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CCC[C@H]4C(F)(F)F)nc3)n2)n(C)c1=O,CHEMBL5951849,9.0,9.0,9.0,,1,2019,2019,1,1
QZGNCRICQIDMHW-UHFFFAOYSA-N,Cc1cc2nc(-c3cccc(Cl)c3)c(NC(C)(C)C)n2cc1Br,CHEMBL3959298,6.64,6.64,6.64,,1,2016,2016,1,1
QZOIMDCJCAKBGQ-UHFFFAOYSA-N,CC(C)C(NC(=O)c1cnn(C(C)(C)C)c1C(F)(F)F)C(=O)c1ccc2nonc2c1,CHEMBL2071600,6.4,6.4,6.4,,1,2012,2012,1,1
RAFUPNMBANCSLG-YEORSEQZSA-N,Cn1cnc2ncn(Cc3nc([C@H]4C[C@H](Oc5ccc(F)cc5)C4)no3)c(=O)c21,CHEMBL5833830,7.4,7.4,7.4,,1,2020,2020,1,1
RAHSUIGYUWDUOC-UHFFFAOYSA-N,CCC(=O)Cn1c(=O)c2c(ncn2CC(N)=O)n(C)c1=O,CHEMBL5935417,8.1,8.1,8.1,,1,2019,2019,1,1
RAQSTFBWMXLVQS-UHFFFAOYSA-N,CC(C)C(NC(=O)N(C)C(C)(C)C)C(=O)c1ccc(Cl)cc1,CHEMBL2071586,6.4,6.2,6.6,0.28284271247461895,2,2012,2012,1,2
RBMMABICGHVJIJ-AWEZNQCLSA-N,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3ccnc(-c4cnc(C)c(C(F)(F)F)c4)n3)n(C)c2=O)no1,CHEMBL5806996,9.0,9.0,9.0,,1,2019,2019,1,1
RBQDBKBBFFUJHV-UHFFFAOYSA-N,Cn1cnc2ncn(Cc3nn(CCc4ccc(OC(F)F)cc4)c(=O)o3)c(=O)c21,CHEMBL5815789,6.68,6.68,6.68,,1,2021,2021,1,1
RBQQXOROSFEGNT-WCQYABFASA-N,Cn1c(C(F)F)nc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21,CHEMBL6040972,7.96,7.96,7.96,,1,2020,2020,1,1
RDUIENCYZRNFOI-UHFFFAOYSA-N,Fc1ccc2[nH]c(-c3n[nH]c4cc(OC(F)(F)F)ccc34)cc2c1,CHEMBL4100238,6.13,6.13,6.13,,1,2017,2017,1,1
RDUWGQOSDSCPEY-DIBXZPPDSA-N,Cn1nc2c(c1CC(=O)/N=c1\scc(-c3ccc(F)c(C(F)(F)F)c3F)n1COP(=O)(O)O)c(=O)n(C)c(=O)n2C,CHEMBL3953123,5.8,5.8,5.8,,1,2015,2015,1,1
RDZDOAHPYMGFTF-GOEBONIOSA-N,Cc1nc2nc(C)n(C)c2c(=O)n1Cc1nc([C@@H]2CO[C@@H](c3ccc(Cl)cc3)C2)no1,CHEMBL5765205,7.140000000000001,7.07,7.21,0.09899494936611612,2,2020,2020,1,2
RELPPOJGGXOECP-UHFFFAOYSA-N,Fc1ccc(Oc2nccc3[nH]ccc23)c(F)c1,CHEMBL3298760,6.5,6.5,6.5,,1,2014,2014,1,1
REOZWEGFPHTFEI-JKSUJKDBSA-N,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCC)cc1O,CHEMBL2387742,5.89,5.89,5.89,,1,2021,2021,1,1
REQIGSAIGZEBIL-HNNXBMFYSA-N,CCN(CC)c1ncc(-c2nc(NC(=O)[C@H](C)n3cnc4c3c(=O)n(Cc3cc(C)on3)c(=O)n4C)cs2)cn1,CHEMBL6040901,8.7,8.7,8.7,,1,2019,2019,1,1
REQRXYTVHDTROQ-QWPOMPHKSA-N,CCC(=N\O)/C(C)=C/c1ccc(F)c(Cl)c1,CHEMBL3697709,5.22,5.22,5.22,,1,2015,2015,1,1
RFVGHGUGSAAXTQ-IERDGZPVSA-N,O=C(NCc1cc(N2CCC(C(F)(F)F)CC2)c(F)cn1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL6020384,7.465,7.25,7.68,0.30405591591021525,2,2022,2022,1,1
RFWQIWOJUKZICG-UHFFFAOYSA-N,CC(C)C(NC(=O)c1ccccc1C(F)(F)F)C(=O)c1ccc(C#N)cc1,CHEMBL2071508,5.4,5.3,5.5,0.14142135623730995,2,2012,2012,1,2
