inchikey,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,year_min,year_max,n_documents,n_assays
AADNQPJZRQAMOD-OOHWJJMZSA-N,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,CHEMBL6037240,9.0,9.0,9.0,,1,2019,2019,1,1
AADPNBLFAHYYBS-VXGBXAGGSA-N,O[C@]1(C(F)(F)F)CCCC[C@H]1Nc1cccc(F)c1,CHEMBL5413993,7.2,7.2,7.2,,1,2023,2023,1,1
AAOJDMVYFBSKFT-UHFFFAOYSA-N,CC(C)(C)Nc1c(-c2cccc(C#N)c2)nc2ccc(Cl)cn12,CHEMBL3944269,5.67,5.67,5.67,,1,2016,2016,1,1
AARVTENEMZRJQO-VIZZQPHQSA-N,C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2ccnc(-c3cnc(C(F)(F)F)nc3)c2)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL4103225,7.49,7.16,7.82,0.4666904755831215,2,2018,2022,2,2
AASDZFLETHTKKS-UHFFFAOYSA-N,CCCCCCc1ccc(-c2csc(NC(=O)Cn3ccc4c3c(=O)n(C)c(=O)n4C)n2)cc1,CHEMBL1946121,5.58,5.58,5.58,,1,2012,2012,1,1
ABOASBRALGFDPQ-GJZGRUSLSA-N,Cn1cnc2ncn(Cc3nn([C@H]4CC[C@H](c5ccccc5)C4)c(=O)o3)c(=O)c21,CHEMBL5953252,6.81,6.81,6.81,,1,2021,2021,1,1
ABQLUKILVQNPKZ-UHFFFAOYSA-N,CCc1cc(NC(=O)Cn2cnc3c2c(=O)n(Cc2cc(C)on2)c(=O)n3C)nc(C(F)(F)F)c1,CHEMBL5812994,5.79,5.79,5.79,,1,2019,2019,1,1
ABYAAFDXQRWTJE-DOTOQJQBSA-N,Cc1ccc(=O)n2ccn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c12,CHEMBL5849460,8.37,8.37,8.37,,1,2020,2020,1,1
ADSGDRJGOSICMK-XJKSGUPXSA-N,O=c1c2cccc(=O)n2cnn1Cc1nc([C@@H]2CO[C@@H](c3ccc(Cl)cc3)C2)no1,CHEMBL5806080,8.62,8.62,8.62,,1,2020,2020,1,1
ADVULNQGSUGCCG-KXTWHKPSSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6cccc(-c7cccnc7)c6)C[C@@H]54)no3)c(=O)c21,CHEMBL6057953,7.220000000000001,7.11,7.33,0.1555634918610406,2,2020,2020,1,2
AFCFNPKLZQLKPK-APWZRJJASA-N,O=C(NCc1cn(-c2ccc(C(F)(F)F)cc2)nc1Cl)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL6063051,7.605,7.11,8.1,0.7000357133746818,2,2022,2022,1,1
AGKMZNQCTOWDFF-ZDUSSCGKSA-N,O=C1NCCc2c1sc1ncn(Cc3nc(C[C@H](O)c4ccc(Cl)cc4)no3)c(=O)c21,CHEMBL4848526,8.05,8.05,8.05,0.0,2,2021,2021,2,2
AGPQIQSLJAQASS-GLJUWKHASA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5C=C(c6ccc7ncsc7c6)C[C@@H]54)no3)c(=O)c21,CHEMBL6010659,8.155,7.8,8.51,0.502045814642449,2,2020,2020,1,2
AGXCNAPHYYLCHN-IBGZPJMESA-N,CC(C)n1c(=O)c(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3cnccc3o2)cn(-c2ccc(C(F)(F)F)nc2)c1=O,CHEMBL5920363,6.24,6.24,6.24,,1,2020,2020,1,1
AHHGHXFTQVZBPO-UHFFFAOYSA-N,COc1cc2ccnc(Oc3ccc(F)cc3)c2cc1OC,CHEMBL3298322,6.48,6.48,6.48,,1,2014,2014,1,1
AHJAJTHWNBFJBF-YCPHGPKFSA-N,Cn1c(N)nc2ncn(Cc3nc([C@H]4[C@@H]5C=C(c6ccccc6)C[C@@H]54)no3)c(=O)c21,CHEMBL5778028,7.95,7.48,8.42,0.6646803743153543,2,2020,2020,1,2
AIAJJMJAXBVVRD-YABSGUDNSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6ncccc6F)C[C@@H]54)no3)c(=O)c21,CHEMBL5854314,6.9,6.84,6.96,0.08485281374238547,2,2020,2020,1,2
AIWIRRGSGOLMQX-UHFFFAOYSA-N,Cc1cnc(Cl)c2ncn(Cc3nn(CCc4ccc(Cl)cc4)c(=O)o3)c(=O)c12,CHEMBL5841138,7.75,7.75,7.75,,1,2021,2021,1,1
AIXGIOZVDSOSEU-HWWDLCQESA-N,Nc1ccc2c(=O)n(Cc3nc([C@H]4[C@@H]5CN(c6cccc(F)c6)C[C@@H]54)no3)cnc2n1,CHEMBL5907292,8.19,8.01,8.37,0.2545584412271567,2,2020,2020,1,2
AJFUDTVIKFGQMS-UHFFFAOYSA-N,Fc1cccc(Oc2ncnc3[nH]ccc23)c1F,CHEMBL3298499,5.57,5.57,5.57,,1,2014,2014,1,1
AJGIUAWWWVYNEY-ZDUSSCGKSA-N,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3ccc(C(F)(F)F)nc3)n2)n(C)c1=O,CHEMBL5810663,7.68,7.68,7.68,,1,2019,2019,1,1
AKDLWVHAJCEAKD-ZDUSSCGKSA-N,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(OC)c(C(F)(F)F)c3)n2)n(C)c1=O,CHEMBL5992488,9.0,9.0,9.0,,1,2019,2019,1,1
AKQMAZGMANPFFK-GOSISDBHSA-N,CC(C)N(CC(=O)NC[C@H]1CCCN(c2ccc(C(F)(F)F)cc2)C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL4110915,6.3,6.3,6.3,,1,2016,2016,1,1
AKQMAZGMANPFFK-SFHVURJKSA-N,CC(C)N(CC(=O)NC[C@@H]1CCCN(c2ccc(C(F)(F)F)cc2)C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL3908709,6.51,6.51,6.51,,1,2016,2016,1,1
AKQMAZGMANPFFK-UHFFFAOYSA-N,CC(C)N(CC(=O)NCC1CCCN(c2ccc(C(F)(F)F)cc2)C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL3890809,6.63,6.63,6.63,,1,2016,2016,1,1
AKXYWNUSJTXEKI-NHAGDIPZSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6cncc(Cl)c6)C[C@@H]54)no3)c(=O)c21,CHEMBL5834986,6.54,6.54,6.54,,1,2020,2020,1,1
AKZDACQLYHVVHF-WCQYABFASA-N,Cn1c(N)nc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21,CHEMBL5947433,7.62,7.23,8.01,0.5515432893255067,2,2020,2020,1,2
AKZZSBPAHSIOBC-XVDXERDNSA-N,Cn1cnc2ncn(Cc3nn([C@H]4C[C@](F)(c5ccc(F)cc5)C4)c(=O)o3)c(=O)c21,CHEMBL5773844,7.1,7.1,7.1,,1,2021,2021,1,1
ALDVAWDTIJSMNO-ZDHWLGKOSA-N,CC(=C\c1ccc(F)cc1)/C(=N/O)C(C)(C)C,CHEMBL3697705,5.1,5.1,5.1,,1,2015,2015,1,1
ALEGZXFLOSZQFJ-OIPGSKEASA-N,CCCCC(=N\O)/C(C)=C/c1ccc(F)cc1,CHEMBL3697706,5.36,5.36,5.36,,1,2015,2015,1,1
ALPYZNHKWLPYPM-HDJSIYSDSA-N,COc1ccc([C@H]2C[C@H](n3nc(Cn4cnc5ncn(C)c5c4=O)oc3=O)C2)cc1,CHEMBL5801295,6.98,6.98,6.98,,1,2021,2021,1,1
AMABIFVVCZYKIM-WCQYABFASA-N,Cn1nnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c21,CHEMBL6024610,8.295,8.12,8.47,0.24748737341529264,2,2020,2020,1,2
AMMUKFMDWPZRHN-OOHWJJMZSA-N,Cc1noc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cccc(-c4cnc(N5CC6CC6C5)nc4)n3)n(C)c2=O)n1,CHEMBL5953298,8.4,8.4,8.4,,1,2019,2019,1,1
ANDQZSDRMVJBQS-UHFFFAOYSA-N,Cc1cc(Cn2c(=O)c3c(ncn3CC(=O)Nc3cccc(-c4cnc(C)c(F)c4)n3)n(C)c2=O)no1,CHEMBL5837721,7.77,7.77,7.77,,1,2019,2019,1,1
ANNUHVXNCFVLIP-GXTWGEPZSA-N,Cc1nc(Br)n2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c12,CHEMBL5876271,7.48,7.48,7.48,,1,2020,2020,1,1
ANPQBLBZMKRGJT-UHFFFAOYSA-N,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(F)c(C(F)(F)F)c4F)cs3)c(Cl)oc2n(C)c1=O,CHEMBL3949747,8.0,8.0,8.0,,1,2015,2015,1,1
ANROYDNBUBEGHC-MQMHXKEQSA-N,Cc1noc2ncn(Cc3nn([C@H]4C[C@H](c5ccc(Cl)cc5)C4)c(=O)o3)c(=O)c12,CHEMBL5925924,7.44,7.44,7.44,,1,2021,2021,1,1
ANSVBJGYIJAUDS-UHFFFAOYSA-N,CCCCCCc1ccc(NC(=O)Cn2ccc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL1944847,5.8,5.8,5.8,,1,2012,2012,1,1
ANVHGHPKRCRGRV-UHFFFAOYSA-N,CC(=O)Cn1c(=O)c2c(nc(C)n2CC(=O)Nc2cccc(-c3ccc(Cl)cc3)n2)n(C)c1=O,CHEMBL5895659,7.48,7.48,7.48,,1,2019,2019,1,1
AOHQOEYOFNJJNZ-XLIONFOSSA-N,O=C(NCc1cc(-c2cnc(C(F)(F)F)nc2)ccc1Cl)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL5844737,8.4,8.4,8.4,,1,2022,2022,1,1
AOZCJXPKMNJCQR-GGYDESQDSA-N,Cc1ccnc2ncn(Cc3nn([C@H]4C[C@](F)(c5ccc(Cl)cc5)C4)c(=O)o3)c(=O)c12,CHEMBL5755565,7.53,7.53,7.53,,1,2021,2021,1,1
APBUNKVHHWMAAH-CHWSQXEVSA-N,N#Cc1ccc(N[C@@H]2CCCC[C@]2(O)C(F)(F)F)cc1,CHEMBL5394738,6.99,6.99,6.99,,1,2023,2023,1,1
APCBJCFILSRMRW-NQPRBDNZSA-N,CC(/C=C/c1ccc(F)cc1)=N\O,CHEMBL3697711,4.69,4.69,4.69,,1,2015,2015,1,1
APHAPQUZFADCCT-UHFFFAOYSA-N,Fc1ccc(Oc2ncnc3[nH]cc(I)c23)c(F)c1,CHEMBL3298585,5.6,5.6,5.6,,1,2014,2014,1,1
APLQHKFABMHWHP-UHFFFAOYSA-N,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,CHEMBL1086588,7.29,6.6,7.55,0.49095145720665045,3,2010,2010,1,3
AQIGJCZBZXSONM-UHFFFAOYSA-N,CC(C)CNc1cc(NC(=O)c2cccs2)cc(C(F)(F)F)c1,CHEMBL3311181,6.1,6.1,6.1,,1,2014,2014,1,1
ARPWNFCYSNNAPW-UHFFFAOYSA-N,Cn1c(=O)n(Cc2ccccn2)c(=O)c2c1ncn2CC(=O)Nc1cccc(-c2cnc(C(F)(F)F)nc2)n1,CHEMBL5908875,7.13,7.13,7.13,,1,2019,2019,1,1
ASHUQWDHMIZJFH-UHFFFAOYSA-N,O=C(Nc1cc(NCc2ccccc2)cc(C(F)(F)F)c1)c1cccs1,CHEMBL3311176,5.54,5.54,5.54,,1,2014,2014,1,1
ASRRTOJJNKDPOE-XLIONFOSSA-N,O=C(NCc1cc(F)cc(-c2cnc(C(F)(F)F)cn2)c1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL6055139,7.85,7.85,7.85,,1,2022,2022,1,1
ATLHEWQHWGSHBX-AULYBMBSSA-N,Cn1cnc2ncn(Cc3nc([C@H]4C[C@H](C(F)(F)c5cccc(Cl)c5)C4)no3)c(=O)c21,CHEMBL5842669,7.734999999999999,7.58,7.89,0.21920310216782976,2,2020,2020,1,2
AUHAKZCDXJXNIS-WCQYABFASA-N,Cn1c(N)nc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c21,CHEMBL6016416,7.3100000000000005,6.9,7.72,0.5798275605729682,2,2020,2020,1,2
AUNMQOCPGMEAST-ZFWWWQNUSA-N,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CCC[C@H]4C(F)(F)F)nc3)n2)n(C)c1=O,CHEMBL5910411,8.7,8.7,8.7,,1,2019,2019,1,1
AUVVPNQJMBEMDI-FOLVSLTJSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6ccc(OC(F)(F)F)cc6)C[C@@H]54)no3)c(=O)c21,CHEMBL5785384,7.37,7.37,7.37,,1,2020,2020,1,1
AVGRXCGZLZSSPC-UHFFFAOYSA-N,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(C5CCCCC5)cc4)cs3)cccc2n(C)c1=O,CHEMBL3968210,7.33,7.33,7.33,,1,2015,2015,1,1
AVISJIJTLXTWET-LBPRGKRZSA-N,Cc1nc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3ccnc(-c4cnc(C)c(C(F)(F)F)c4)n3)n(C)c2=O)no1,CHEMBL5875124,8.7,8.7,8.7,,1,2019,2019,1,1
AVMFNJJDFFARPS-IBGZPJMESA-N,O=C(NCc1cc(-c2ccc(C(F)(F)F)nc2)ncn1)[C@@H]1CCCN1S(=O)(=O)c1ccc(F)cc1,CHEMBL4104646,6.81,6.81,6.81,,1,2018,2018,1,1
AVMYOZBHUDFCJI-AEFFLSMTSA-N,O=C(NCc1cc(F)cc(-c2cnc(C(F)(F)F)s2)c1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL5929664,7.92,7.92,7.92,,1,2022,2022,1,1
AVZYAMPJJDVPDJ-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2cccc(CO)c2)c2ccccc21,CHEMBL1939977,6.15,6.15,6.15,,1,2012,2012,1,1
AWDCUIDEVZIBKR-UHFFFAOYSA-N,Cc1cccc2c(=O)n(CC(=O)NCCc3ccc(Cl)cc3)cnc12,CHEMBL3787010,6.1,6.1,6.1,,1,2016,2016,1,1
AWJBWNUUODWOKQ-UHFFFAOYSA-N,Cn1cnc2ncn(Cc3nc(CCc4ccc(Cl)cc4)no3)c(=O)c21,CHEMBL3785736,7.29,6.88,7.7,0.5798275605729691,2,2016,2016,1,2
AXFDPUXDIHEOAI-UHFFFAOYSA-N,Cc1cc(Cn2c(=O)c3c(ncn3CC(=O)Nc3cccc(N4CCC(F)(F)CC4)n3)n(C)c2=O)no1,CHEMBL6047908,6.91,6.91,6.91,,1,2019,2019,1,1
AXIFMPBHMMMIKY-AULYBMBSSA-N,Cn1nnc2ncn(Cc3nn([C@H]4C[C@H](c5ccc(Cl)cc5)C4)c(=O)o3)c(=O)c21,CHEMBL5889320,7.11,7.11,7.11,,1,2021,2021,1,1
AXPFEEJMCXUHQD-JTQLQIEISA-N,C[C@@H](C(=O)Nc1cccc(-c2cnc(C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC(N)=O)c(=O)n2C,CHEMBL5918372,6.25,6.25,6.25,,1,2021,2021,1,1
AXRMPMIEMCXOTJ-VQFNDLOPSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6cccc(-c7ncco7)c6)C[C@@H]54)no3)c(=O)c21,CHEMBL5892972,7.125,7.11,7.14,0.021213203435595972,2,2020,2020,1,2
AXVJKWISWYSMEO-MOPGFXCFSA-N,O=C(NCc1cn(-c2ccc(C(F)(F)F)cc2)nc1C(F)F)[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1,CHEMBL5883435,7.54,7.46,7.62,0.09237604307034021,4,2020,2020,1,1
AXVJKWISWYSMEO-UHFFFAOYSA-N,O=C(NCc1cn(-c2ccc(C(F)(F)F)cc2)nc1C(F)F)C1CCC1S(=O)(=O)c1ccc(F)cc1,CHEMBL6009891,7.02,7.02,7.02,,1,2020,2020,1,1
AXVWPJGJCGMVLQ-UHFFFAOYSA-N,O=c1c2cccnc2ncn1Cc1nnc(CCc2ccc(Cl)cc2)o1,CHEMBL3787328,5.66,5.66,5.66,,1,2016,2016,1,1
AYPZAZPOYROADP-ZHACJKMWSA-N,Oc1ccccc1/C=C/c1ccccc1,CHEMBL2387060,5.77,5.77,5.77,,1,2017,2017,1,1
AZGCRXQGLDQGTA-KNQAVFIVSA-N,O=C(NCc1cc(F)cc(-c2ccc(C(F)F)cn2)c1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL5964721,7.51,7.51,7.51,,1,2022,2022,1,1
AZMMWBUQIXBLDU-UHFFFAOYSA-N,Cc1n[nH]c2ccc(-c3ccccc3C(F)(F)F)cc12,CHEMBL3298252,5.51,5.51,5.51,,1,2014,2014,1,1
AZZRAZUXGHJAOV-WCQYABFASA-N,Cn1cnc2nc(N)n(Cc3nc([C@@H]4CO[C@@H](c5cccc(F)c5)C4)no3)c(=O)c21,CHEMBL5818029,7.949999999999999,7.39,8.51,0.7919595949289336,2,2020,2020,1,2
BAHAKPRBUNPURW-CMPLNLGQSA-N,O[C@]1(C(F)(F)F)CCCC[C@H]1Cc1cncc(Cl)c1,CHEMBL5424431,5.8,5.8,5.8,,1,2023,2023,1,1
BANGFDNCERQQIE-CHWSQXEVSA-N,CN([C@@H]1CCCC[C@]1(O)C(F)(F)F)S(=O)(=O)c1ccc(F)cc1,CHEMBL5398623,5.5,5.5,5.5,,1,2023,2023,1,1
BAORHIGPTKNHRW-HBFSDRIKSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5C=C(c6ccc7ccncc7c6)C[C@@H]54)no3)c(=O)c21,CHEMBL5976855,7.275,7.23,7.32,0.06363961030678918,2,2020,2020,1,2
BAORHIGPTKNHRW-NLWGTHIKSA-N,Cn1cnc2ncn(Cc3nc([C@@H]4[C@H]5C=C(c6ccc7ccncc7c6)C[C@H]54)no3)c(=O)c21,CHEMBL5761361,7.949999999999999,7.78,8.12,0.24041630560342575,2,2020,2020,1,2
BAYFMGSXOKNAJZ-VXGBXAGGSA-N,O[C@]1(C(F)(F)F)CCCC[C@H]1Oc1ccc(F)cc1,CHEMBL5439762,7.7,7.7,7.7,,1,2023,2023,1,1
BBCFRTHODCIVDP-VLIAUNLRSA-N,C[C@@H]1CC[C@@H](C(=O)NCc2cc(-c3ccc(C(F)(F)F)nc3)ncn2)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL4083847,6.984999999999999,6.62,7.35,0.5161879502661797,2,2018,2022,2,2
BBCFRTHODCIVDP-XOBRGWDASA-N,C[C@H]1CC[C@@H](C(=O)NCc2cc(-c3ccc(C(F)(F)F)nc3)ncn2)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL4077957,8.095,7.89,8.3,0.2899137802864849,2,2018,2022,2,2
BBFDPQFELBFLCW-GXTWGEPZSA-N,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc6ncsc6c5)C4)no3)c(=O)c21,CHEMBL6000369,6.949999999999999,6.84,7.06,0.1555634918610406,2,2020,2020,1,2
BCKUYDODOWTDPH-XLIONFOSSA-N,O=C(NCc1cc(-c2ccc(C(F)(F)F)nc2)ccn1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL6030689,6.73,6.73,6.73,,1,2022,2022,1,1
BCXNWQDMUUSORS-UHFFFAOYSA-N,FC(F)Oc1cc2[nH]ncc2cc1-c1ccccc1C(F)(F)F,CHEMBL3299025,7.3,7.3,7.3,,1,2014,2014,1,1
BDMMXSHQKHUFKQ-GOSISDBHSA-N,Cc1c(=O)n(Cc2ccccc2)c(=O)n2cc(C(=O)N3CC[C@@H](Oc4ccccc4C(F)(F)F)C3)sc12,CHEMBL3220449,7.0,7.0,7.0,,1,2012,2012,1,1
BDMMXSHQKHUFKQ-SFHVURJKSA-N,Cc1c(=O)n(Cc2ccccc2)c(=O)n2cc(C(=O)N3CC[C@H](Oc4ccccc4C(F)(F)F)C3)sc12,CHEMBL3220450,6.82,6.82,6.82,,1,2012,2012,1,1
BELXXIWFEWPMCV-UOIKSKOESA-N,O=c1c2cccnc2cnn1Cc1nc([C@H]2[C@@H]3CN(c4ccnc(F)c4)C[C@@H]32)no1,CHEMBL6028364,7.3100000000000005,7.23,7.39,0.11313708498984676,2,2020,2020,1,2
BGJCZTPFRKSUHS-CMPLNLGQSA-N,Nc1nc2ncsc2c(=O)n1Cc1nc([C@@H]2CO[C@@H](c3ccc(Cl)cc3)C2)no1,CHEMBL5782035,8.545,8.24,8.85,0.43133513652379357,2,2020,2020,1,2
BGQSZBPWPOXQTF-AWEZNQCLSA-N,O=C1C2=C(NC(=S)N[C@H]2c2ccccc2)c2ccccc21,CHEMBL1939985,5.09,5.09,5.09,,1,2012,2012,1,1
BGQSZBPWPOXQTF-CQSZACIVSA-N,O=C1C2=C(NC(=S)N[C@@H]2c2ccccc2)c2ccccc21,CHEMBL1939984,6.11,6.11,6.11,,1,2012,2012,1,1
BGQSZBPWPOXQTF-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,CHEMBL1939990,5.75,5.75,5.75,,1,2012,2012,1,1
BGXHQWBKFTYLMO-UHFFFAOYSA-N,Cn1cnc2ncn(Cc3nn(CCc4ccc(Br)c(Cl)c4)c(=O)o3)c(=O)c21,CHEMBL5848142,6.88,6.88,6.88,,1,2021,2021,1,1
BHLICBDDYVMRMM-UHFFFAOYSA-N,Cc1cc(-c2ccccc2C(F)(F)F)cc2cn[nH]c12,CHEMBL3298920,5.17,5.17,5.17,,1,2014,2014,1,1
BITJIBOQHOBSEQ-PMACEKPBSA-N,Cc1cc(-c2cnc(C(F)(F)F)nc2)cc(CNC(=O)[C@@H]2[C@@H](F)CCN2S(=O)(=O)c2ccc(F)cc2)n1,CHEMBL5762746,7.57,7.57,7.57,,1,2022,2022,1,1
BIUMIQOEJSJTAM-QFIPXVFZSA-N,CC(C)n1cc(-c2ccc(C(F)(F)F)nc2)cc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3cc(F)ccc3o2)c1=O,CHEMBL5794350,7.51,7.51,7.51,,1,2020,2020,1,1
BIWXFLAZRBTWMI-UHFFFAOYSA-N,FC(F)(F)c1ccccc1-c1cc2cn[nH]c2cc1Cl,CHEMBL3298922,7.62,7.62,7.62,,1,2014,2014,1,1
BJGBIUYKSAKORC-FHERZECASA-N,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3cnc(N4CC5CC5C4)nc3)n2)n(C)c1=O,CHEMBL5901326,8.16,8.1,8.22,0.0848528137423864,2,2019,2019,1,1
BJNUBTRKMKILLA-DEOSSOPVSA-N,CC(C)n1cc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3c(F)cccc3o2)cc(-c2ccc(C(F)(F)F)cc2)c1=O,CHEMBL5836416,7.07,7.07,7.07,,1,2020,2020,1,1
BJZUYRRKPINCLY-UHFFFAOYSA-N,CCCNc1cc(NC(=O)c2cccnc2)cc(C(F)(F)F)c1,CHEMBL3311186,6.03,6.03,6.03,,1,2014,2014,1,1
BKBDSVDSSWOBTQ-GXTWGEPZSA-N,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(C(F)(F)F)cc5)C4)no3)c(=O)c21,CHEMBL5994890,7.4350000000000005,7.33,7.54,0.14849242404917465,2,2020,2020,1,2
BKDSPECIAKYFPT-XJKSGUPXSA-N,COc1nccc2c(=O)n(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)cnc12,CHEMBL5787622,6.935,6.85,7.02,0.12020815280171303,2,2020,2020,1,2
BKTFMVDMGYGHGU-UHFFFAOYSA-N,O=C(NCc1cc(-c2ccc(C(F)(F)F)nc2)ncn1)C1C2CC(CC2F)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL5923850,7.28,7.28,7.28,,1,2022,2022,1,1
BLKRXSROXNOPPY-GGYDESQDSA-N,Cc1ccnc2ncn(Cc3nn([C@H]4C[C@](F)(c5ccc(F)cc5)C4)c(=O)o3)c(=O)c12,CHEMBL5962477,7.75,7.75,7.75,,1,2021,2021,1,1
BMJPYMNIGZKPLS-LBPRGKRZSA-N,Cc1c(C(N)=O)sc2ncn(Cc3nnn(C[C@H](O)c4cc5ccc(Cl)cc5o4)n3)c(=O)c12,CHEMBL6045448,7.82,7.82,7.82,,1,2023,2023,1,1
BMPXPBSETVIDSP-UHFFFAOYSA-N,FC(F)c1ccccc1-c1ccc2[nH]ncc2c1,CHEMBL3298243,5.66,5.66,5.66,,1,2014,2014,1,1
BOBRNSMQJNURJX-JEYLPNPQSA-N,CC#CCn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,CHEMBL5908773,8.7,8.7,8.7,,1,2019,2019,1,1
BOBUEKYDHRZMRK-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2F)c2ccccc21,CHEMBL1939981,5.68,5.68,5.68,,1,2012,2012,1,1
BONDEBJDVZGSIK-UHFFFAOYSA-N,Cc1cc(Cn2c(=O)c3c(ncn3CC(=O)Nc3cccc(N4CCC(C(F)(F)F)CC4)n3)n(C)c2=O)no1,CHEMBL5778624,7.58,7.58,7.58,,1,2019,2019,1,1
BOXFETBEAMXCQH-DZGCQCFKSA-N,Cc1ncn2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c12,CHEMBL6043326,7.6,7.6,7.6,,1,2020,2020,1,1
BPCZABOCGVZEBN-ZDUSSCGKSA-N,Cc1cc(-c2cncc(NC(=O)[C@H](C)n3cnc4c3c(=O)n(Cc3ccon3)c(=O)n4C)n2)cnc1C(F)(F)F,CHEMBL5843493,7.89,7.89,7.89,,1,2019,2019,1,1
BPKDWFGRTCABEJ-FQEVSTJZSA-N,CC(C)N(CC(=O)NC[C@H]1CN(c2ccc(C(F)(F)F)cc2)CCO1)S(=O)(=O)c1ccc(F)cc1,CHEMBL3898574,6.82,6.82,6.82,,1,2016,2016,1,1
BPKDWFGRTCABEJ-HXUWFJFHSA-N,CC(C)N(CC(=O)NC[C@@H]1CN(c2ccc(C(F)(F)F)cc2)CCO1)S(=O)(=O)c1ccc(F)cc1,CHEMBL4112565,5.88,5.88,5.88,,1,2016,2016,1,1
BPKDWFGRTCABEJ-UHFFFAOYSA-N,CC(C)N(CC(=O)NCC1CN(c2ccc(C(F)(F)F)cc2)CCO1)S(=O)(=O)c1ccc(F)cc1,CHEMBL3899792,6.71,6.71,6.71,,1,2016,2016,1,1
BPLFISJMISZSMT-GXTWGEPZSA-N,Cn1c(=O)c2c(ncn2Cc2nc([C@@H]3CO[C@@H](c4ccc(Cl)cc4)C3)no2)n(C)c1=O,CHEMBL5929352,7.265000000000001,7.24,7.29,0.03535533905932756,2,2020,2020,1,2
