activity_id,assay_chembl_id,assay_type,canonical_smiles,data_validity_comment,document_chembl_id,document_year,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,std_smiles,inchikey
27423689,CHEMBL5733104,B,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cccc(-c4cnc(C(F)(F)F)nc4)n3)n(C)c2=O)no1,,CHEMBL5726658,2019,CHEMBL5758717,8.4,=,=,IC50,nM,4.0,IC50,nM,4.0,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cccc(-c4cnc(C(F)(F)F)nc4)n3)n(C)c2=O)no1,RQYJNYUPQSRKEX-ZDUSSCGKSA-N
27423692,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CCC[C@H]4C(F)(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5910411,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CCC[C@H]4C(F)(F)F)nc3)n2)n(C)c1=O,AUNMQOCPGMEAST-ZFWWWQNUSA-N
27423695,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2C(C)C(=O)Nc2ccnc(-c3cnc(N4CC5CC5C4)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5897591,8.1,=,=,IC50,nM,8.0,IC50,nM,8.0,CCC(=O)Cn1c(=O)c2c(ncn2C(C)C(=O)Nc2ccnc(-c3cnc(N4CC5CC5C4)nc3)n2)n(C)c1=O,RYOHHCGMNJEVIR-UHFFFAOYSA-N
27423698,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CCC[C@H]4C(F)(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5951849,9.0,=,=,IC50,nM,1.0,IC50,nM,1.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CCC[C@H]4C(F)(F)F)nc3)n2)n(C)c1=O,QYYUODQVSQCLPQ-BBRMVZONSA-N
27423701,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(Cl)c(Cl)c3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5780817,9.0,=,=,IC50,nM,1.0,IC50,nM,1.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(Cl)c(Cl)c3)n2)n(C)c1=O,GSFZIJJFUIHXEU-NSHDSACASA-N
27423704,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(Cl)c(Cl)c3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5826617,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(Cl)c(Cl)c3)n2)n(C)c1=O,VUXIUBYPGSGYOG-NSHDSACASA-N
27423707,CHEMBL5733104,B,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cncc(-c4cnc(C(F)(F)F)nc4)n3)n(C)c2=O)no1,,CHEMBL5726658,2019,CHEMBL5770333,7.72,=,=,IC50,nM,19.0,IC50,nM,19.0,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cncc(-c4cnc(C(F)(F)F)nc4)n3)n(C)c2=O)no1,QVLFKDKVSWBVHB-LBPRGKRZSA-N
27423710,CHEMBL5733104,B,CC(C(=O)Nc1cncc(-c2cnc(C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5871339,6.69,=,=,IC50,nM,203.0,IC50,nM,203.0,CC(C(=O)Nc1cncc(-c2cnc(C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,SUWXREOOEJAHMP-UHFFFAOYSA-N
27423713,CHEMBL5733104,B,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cccc(-c4ccc(C(F)(F)F)cc4)n3)n(C)c2=O)no1,,CHEMBL5726658,2019,CHEMBL6022109,8.3,=,=,IC50,nM,5.0,IC50,nM,5.0,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cccc(-c4ccc(C(F)(F)F)cc4)n3)n(C)c2=O)no1,FTWYYMVJQQIIJU-HNNXBMFYSA-N
27423716,CHEMBL5733104,B,CC(C(=O)Nc1cccc(-c2cnc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5837647,8.0,=,=,IC50,nM,10.0,IC50,nM,10.0,CC(C(=O)Nc1cccc(-c2cnc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,LHZORGBUTZZYPP-UHFFFAOYSA-N
27423719,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5859038,8.4,=,=,IC50,nM,4.0,IC50,nM,4.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,WMQGYUJRYHBKTK-OOHWJJMZSA-N
27423722,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5912915,9.0,=,=,IC50,nM,1.0,IC50,nM,1.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,PXKKQBVIUIPCPW-NNGSBXSVSA-N
27423725,CHEMBL5733104,B,CCN(CC)c1ncc(-c2cccc(NC(=O)[C@H](C)n3cnc4c3c(=O)n(Cc3cc(C)on3)c(=O)n4C)n2)cn1,,CHEMBL5726658,2019,CHEMBL5984899,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,CCN(CC)c1ncc(-c2cccc(NC(=O)[C@H](C)n3cnc4c3c(=O)n(Cc3cc(C)on3)c(=O)n4C)n2)cn1,HPKPJVMZLTXAQJ-KRWDZBQOSA-N
27423728,CHEMBL5733104,B,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CCC[C@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL6049789,9.0,=,=,IC50,nM,1.0,IC50,nM,1.0,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CCC[C@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,QMEGSSYRFUWZDE-JSGCOSHPSA-N
27423731,CHEMBL5733104,B,C[C@@H](C(=O)Nc1csc(-c2ccc(Cl)c(Cl)c2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5794855,9.0,=,=,IC50,nM,1.0,IC50,nM,1.0,C[C@@H](C(=O)Nc1csc(-c2ccc(Cl)c(Cl)c2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,CJIFGBJDSODVOU-JTQLQIEISA-N
27423734,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cccc(-c2cnc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5786413,8.52,=,=,IC50,nM,3.0,IC50,nM,3.0,C[C@@H](C(=O)Nc1cccc(-c2cnc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,FZXALJROWDXSCO-JEYLPNPQSA-N
27423737,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(C(F)(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5822190,7.8,=,=,IC50,nM,16.0,IC50,nM,16.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(C(F)(F)F)nc3)n2)n(C)c1=O,UNUFMVKHNXLXDY-JTQLQIEISA-N
27423740,CHEMBL5733104,B,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3csc(-c4cnc(C(F)(F)F)nc4)n3)n(C)c2=O)no1,,CHEMBL5726658,2019,CHEMBL5902906,8.52,=,=,IC50,nM,3.0,IC50,nM,3.0,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3csc(-c4cnc(C(F)(F)F)nc4)n3)n(C)c2=O)no1,TZBQKXVWVGUNKE-NSHDSACASA-N
27423743,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL6037240,9.0,=,=,IC50,nM,1.0,IC50,nM,1.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,AADNQPJZRQAMOD-OOHWJJMZSA-N
27423746,CHEMBL5733104,B,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL6010308,9.0,=,=,IC50,nM,1.0,IC50,nM,1.0,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,TZSFNLCUZPGZPC-HSBZDZAISA-N
27423749,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cccc(-c2ccc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5979092,8.22,=,=,IC50,nM,6.0,IC50,nM,6.0,C[C@@H](C(=O)Nc1cccc(-c2ccc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,XGHHYTJFVHPJRP-ZLPCBKJTSA-N
27423752,CHEMBL5733104,B,CCN(CC)c1ncc(-c2nc(NC(=O)[C@H](C)n3cnc4c3c(=O)n(Cc3cc(C)on3)c(=O)n4C)cs2)cn1,,CHEMBL5726658,2019,CHEMBL6040901,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,CCN(CC)c1ncc(-c2nc(NC(=O)[C@H](C)n3cnc4c3c(=O)n(Cc3cc(C)on3)c(=O)n4C)cs2)cn1,REQIGSAIGZEBIL-HNNXBMFYSA-N
27423755,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5746363,8.52,=,=,IC50,nM,3.0,IC50,nM,3.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,KGVMCKSYBGNOLM-IVMQYODDSA-N
27423758,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N(CC)CC)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5751844,8.52,=,=,IC50,nM,3.0,IC50,nM,3.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N(CC)CC)nc3)n2)n(C)c1=O,BPSURRHXFTVNPC-AWEZNQCLSA-N
27423761,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cccc(-c2cnc(N3CCC[C@@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5909488,8.52,=,=,IC50,nM,3.0,IC50,nM,3.0,C[C@@H](C(=O)Nc1cccc(-c2cnc(N3CCC[C@@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,XGTQXOATUIFTGC-WMLDXEAASA-N
27423764,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cncc(-c2cnc(N3CCC[C@@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5769127,8.1,=,=,IC50,nM,8.0,IC50,nM,8.0,C[C@@H](C(=O)Nc1cncc(-c2cnc(N3CCC[C@@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,ZBPBSDLPRVLCQI-XJKSGUPXSA-N
27423767,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL6012740,7.92,=,=,IC50,nM,12.0,IC50,nM,12.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,PTLJHZYZENAFPY-ZLPCBKJTSA-N
27423770,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5824623,8.4,=,=,IC50,nM,4.0,IC50,nM,4.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,VZODASFOEMYPIW-ZLPCBKJTSA-N
27423773,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cncc(-c2ccc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5871560,8.1,=,=,IC50,nM,8.0,IC50,nM,8.0,C[C@@H](C(=O)Nc1cncc(-c2ccc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,KXQHESILURTFDZ-OOHWJJMZSA-N
27423776,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(N)=O)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5972635,7.85,=,=,IC50,nM,14.0,IC50,nM,14.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(N)=O)n(C)c1=O,QSJDMPUWLQMDRL-ZETCQYMHSA-N
27423779,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cccc(-c2cnc(N3CCC[C@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5979146,8.4,=,=,IC50,nM,4.0,IC50,nM,4.0,C[C@@H](C(=O)Nc1cccc(-c2cnc(N3CCC[C@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,XGTQXOATUIFTGC-YOEHRIQHSA-N
27423782,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5915279,7.66,=,=,IC50,nM,22.0,IC50,nM,22.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,VNJLGYMVCORAFF-ZLPCBKJTSA-N
27423785,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5877338,8.4,=,=,IC50,nM,4.0,IC50,nM,4.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,XKSIOBPDRWKTCJ-ZLPCBKJTSA-N
27423788,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cncc(-c2cnc(N3CCC[C@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5741988,8.15,=,=,IC50,nM,7.0,IC50,nM,7.0,C[C@@H](C(=O)Nc1cncc(-c2cnc(N3CCC[C@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,ZBPBSDLPRVLCQI-BBRMVZONSA-N
