inchikey,standard_type,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,assay_types,year_min,year_max,scaffold,split
IKGNKSVKPPXUGA-LBPRGKRZSA-N,IC50,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(C)c(F)c3)n2)n(C)c1=O,CHEMBL6044767,7.48,7.48,7.48,,1,B,2019,2019,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cccnc2)n1,train
IKWFTJKUSSBLMW-APWZRJJASA-N,IC50,O=C(NCc1cc(-c2ccc(C(F)(F)F)nc2)cc(F)n1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL5917293,7.31,7.31,7.31,,1,B,2022,2022,O=C(NCc1cc(-c2cccnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,train
ILDMVQZTNFZDID-GFCCVEGCSA-N,IC50,Cn1cnc2ncn(Cc3nn(C[C@@H](F)c4ccc(Br)cc4)c(=O)o3)c(=O)c21,CHEMBL5822420,5.92,5.92,5.92,,1,B,2021,2021,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,train
ILDMVQZTNFZDID-LBPRGKRZSA-N,IC50,Cn1cnc2ncn(Cc3nn(C[C@H](F)c4ccc(Br)cc4)c(=O)o3)c(=O)c21,CHEMBL5979543,8.0,8.0,8.0,,1,B,2021,2021,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,train
ILSIWKXOFBZDGE-YRNVUSSQSA-N,IC50,C/C(=C\c1noc(Cn2cnc3ncn(C)c3c2=O)n1)c1ccc(Cl)cc1,CHEMBL3786508,7.175000000000001,7.15,7.2,0.0353553390593269,2,B,2016,2016,O=c1c2[nH]cnc2ncn1Cc1nc(C=Cc2ccccc2)no1,val
IMGWVWRMROWQGB-IGEOTXOUSA-N,IC50,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,CHEMBL5875545,8.3,8.3,8.3,,1,B,2019,2019,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1ccnc(-c2cnc(N3CC4CC4C3)nc2)n1,train
IMIIJHHHGZTGLU-UHFFFAOYSA-N,IC50,Cc1cc(Cn2c(=O)c3c(ncn3CC(=O)Nc3cccc(-c4cnc(C(F)(F)F)c(C)c4)n3)n(C)c2=O)no1,CHEMBL5772133,8.3,8.3,8.3,,1,B,2019,2019,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(-c2cccnc2)n1,train
IMLKLPZAGJFMRK-NQIIRXRSSA-N,IC50,O=C(NCc1cc(-c2ccc(C(F)(F)F)nc2)ccc1F)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL6031447,8.05,8.05,8.05,,1,B,2022,2022,O=C(NCc1cccc(-c2cccnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,train
IMTJDDGNRNOFAJ-PKOBYXMFSA-N,IC50,COC[C@@H]1CC[C@H](c2ccc(F)cc2)N1S(=O)(=O)c1cc(C)c(F)c(C)c1,CHEMBL3752891,6.57,6.57,6.57,,1,B,2016,2016,O=S(=O)(c1ccccc1)N1CCCC1c1ccccc1,train
INBHLTYBRKASIZ-JXMROGBWSA-N,IC50,O=C(/C=C/c1ccc(O)cc1)Nc1ccccc1C(=O)O,CHEMBL4516367,4.385,4.37,4.4,0.0212132034355962,2,B,2019,2019,O=C(C=Cc1ccccc1)Nc1ccccc1,train
INCHZNJQYBISFT-UHFFFAOYSA-N,IC50,CC(=O)Cn1c(=O)c2c(ncn2CC(=O)Nc2cncc(-c3cnc(C)c(C(F)(F)F)c3)n2)n(C)c1=O,CHEMBL5818087,8.1,8.1,8.1,,1,B,2019,2019,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cncc(-c2cccnc2)n1,train
INKFVRPSMUPBSU-GXSJLCMTSA-N,IC50,O[C@]1(C(F)(F)F)CCCC[C@H]1Cc1csc(Cl)c1,CHEMBL5428179,8.3,8.3,8.3,,1,B,2023,2023,c1cc(CC2CCCCC2)cs1,train
INRPAICZXVSURJ-UKRRQHHQSA-N,IC50,Cn1cnc2ncn(Cc3nn([C@@H]4CC[C@@H](c5ccc(Cl)cc5)C4)c(=O)o3)c(=O)c21,CHEMBL5091195,8.02,8.02,8.02,,1,B,2021,2021,O=c1c2[nH]cnc2ncn1Cc1nn(C2CCC(c3ccccc3)C2)c(=O)o1,train
IOISVRUOQIOJLG-IPVJXJPOSA-N,IC50,Cc1ccnc2ncn(Cc3nc([C@H]4C[C@](O)(c5ccc(Cl)cc5)C4)no3)c(=O)c12,CHEMBL5754776,6.85,6.85,6.85,,1,B,2020,2020,O=c1c2cccnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,train
IORSMGCJYPRZSZ-CSODHUTKSA-N,IC50,O=c1c2cccc(=O)n2ccn1Cc1nc([C@@H]2[C@H]3C=C(c4ccccc4)C[C@H]32)no1,CHEMBL5821169,8.055,7.92,8.19,0.1909188309203675,2,B,2020,2020,O=c1c2cccc(=O)n2ccn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,val
IPESIZNXIXXPJK-UHFFFAOYSA-N,IC50,CC(C)(C(=O)NCC(Cc1ccccc1)N1CCC(O)(C(F)(F)F)CC1)c1ccccc1,CHEMBL3928226,7.37,7.37,7.37,,1,B,2016,2016,O=C(Cc1ccccc1)NCC(Cc1ccccc1)N1CCCCC1,val
IPJMGIPUWRMURN-LBPRGKRZSA-N,IC50,Cc1oc2ncn(Cc3nnn(C[C@H](O)c4cc5cc(Cl)ccc5o4)n3)c(=O)c2c1C(N)=O,CHEMBL5171677,7.92,7.92,7.92,0.0,2,B,2022,2023,O=c1c2ccoc2ncn1Cc1nnn(CCc2cc3ccccc3o2)n1,train
IPTVTUDAXHBJAB-LBPRGKRZSA-N,IC50,NC(=O)c1csc2ncn(Cc3nnn(C[C@H](O)c4cc5ccc(F)cc5s4)n3)c(=O)c12,CHEMBL5197125,8.05,8.05,8.05,,1,B,2022,2022,O=c1c2ccsc2ncn1Cc1nnn(CCc2cc3ccccc3s2)n1,train
