molecule_chembl_id,canonical_smiles
CHEMBL268786,Nc1nc(S)nc2ccc(Sc3ccc4ccccc4c3)cc12
CHEMBL275735,COc1cc(C(=O)/C(C)=C/c2ccc3c(c2)OCO3)cc(OC)c1OC
CHEMBL8295,C=C1CC2(CCCc3ccccc32)OC1=O
CHEMBL426,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
CHEMBL553108,CCCc1ccc(S(=O)(=O)N[C@@H](CC#Cc2ccc(NC)cc2)C(=O)N(C)C2CCCC2)cc1
CHEMBL269294,O=C(N[C@H](Cc1ccc2ccccc2c1)C(=O)O)c1ccccc1Br
CHEMBL428480,NC(=O)[C@H](Cc1ccc2ccccc2c1)NCc1c[nH]c2ccccc12
CHEMBL7421,CC[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC
CHEMBL7619,Oc1cc2c(cc1Sc1ccccc1)OCC2
CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
CHEMBL6834,CC1=CC2[C@@]3(O)[C@H](C)C[C@]4(OC(=O)CCCCCCC[C@H]5C[C@@H]5C)[C@H]([C@@H]3C(C)=C(CO)C[C@]2(O)C1=O)C4(C)C
CHEMBL266025,CC1(C)N=C(N)N=C(N)N1c1cccc(OCCOc2ccccc2)c1
CHEMBL266591,Cc1[nH]c2ccc(O)cc2c1CCN
CHEMBL7629,CN(C)c1ncnc2c1ncn2Cc1ccc(C#N)cc1
CHEMBL6363,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1
CHEMBL266145,CC1=C(c2ccc(-n3ccnc3)cc2)CNC1=O
CHEMBL7036,O=C(OC[C@H]1C[C@@H]2O[C@H]1[C@H]1C(=O)OC(=O)[C@H]12)c1cccc(Oc2ccccc2)c1
CHEMBL6866,CC(C)Nc1ccc(N2CCN(C(=O)c3ccc4[nH]ccc4c3)CC2)nc1
CHEMBL9534,COc1cccc(N(CC(=O)N(C)c2ccccc2)C(=O)CNC(=O)Nc2cccc(C)c2)c1
CHEMBL268429,CC(=O)Oc1cccc(/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)c1
CHEMBL8550,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3
CHEMBL7334,Oc1ccc(-c2nnc3nc4ccccc4n3c2O)cc1O
CHEMBL269773,Cc1c(C)c2c(c(C)c1O)C(CN(C)CCOc1ccc(/C=C3\SC(=O)NC3=O)cc1)C(C)(C)O2
CHEMBL275687,COC(=O)CNP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1
CHEMBL7134,Nc1nc(N)c2c(CCc3ccc4ccccc4c3)cccc2n1
CHEMBL9199,CCOC(=O)C1=NO[C@]2(C(=O)CO)[C@H]1CC1C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
CHEMBL9370,COC(=O)C[C@@H](c1ccc(OC)nc1)N(C)C(=O)CCCCc1nc2c(cc1[N+](=O)[O-])CCCN2
CHEMBL266195,C=CCc1ccccc1OCC(O)CNC(C)C
CHEMBL9550,COC(=O)C[C@@H](c1ccc(OC)nc1)N(C)C(=O)CCCCc1nc2c(cc1NS(C)(=O)=O)CCCN2
CHEMBL8613,CCOc1ccc2[nH]c3c(S)nncc3c2c1
CHEMBL268889,c1ccc(-c2nc3n(c2-c2ccc4c(c2)OCO4)CCC3)nc1
CHEMBL274775,O=C(O)CN1C(=O)c2ccccc2CCc2ccccc21
CHEMBL275341,Cc1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3)c3ccccc3nc12
CHEMBL267863,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(N)cc4)nn3)[C@H]2S1(=O)=O
CHEMBL267178,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1
CHEMBL276473,O=C(/C=C/c1ccccc1)c1ccc(O)cc1
CHEMBL414184,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(/C=C/Cn2oc(=O)[nH]c2=O)c1
CHEMBL7738,CCOC(=O)C(=O)/C=C1\C=C(OC)C=C(O)O1
CHEMBL6444,Cc1cc(CCCCCOc2ccc(C3=NCCO3)cc2Cl)on1
CHEMBL9157,COc1ccc(C2=C(C)C(=O)NC2)cc1OC
CHEMBL276374,COCc1c(C)nn(-c2ccccc2)c1-c1ccccc1
CHEMBL8692,CCCCCC(O)c1cccc(Oc2ccc3ccccc3n2)c1
CHEMBL8412,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1
CHEMBL267697,O=C1NC(=O)/C(=C/c2ccc(C(=O)NC[C@@H]3C[C@@H](OCc4ccccc4-c4ccccc4)CN3C(=O)c3ccccc3C(=O)c3ccc(F)cc3F)cc2)S1
CHEMBL268855,CN(C)c1cccc2c(S(=O)(=O)Nc3ccccn3)cccc12
CHEMBL275007,Cc1ccc(N(CC(=O)O)C(=O)c2ccccc2)cc1
CHEMBL269361,COc1ccc(C(=O)c2ccc3n2CCCC3C(=O)O)cc1
CHEMBL261922,CC(CNC(=O)c1cc2cc(Cl)ccc2[nH]1)Cn1ccnc1
CHEMBL267850,CC(C)[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1
CHEMBL47,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
CHEMBL268055,CC12N[C@H](Cc3ccccc31)c1ccccc12
CHEMBL7643,O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2
CHEMBL7055,N#Cc1ccc2nc(N3CCNCC3)cnc2c1
CHEMBL7872,Cc1ccccc1Oc1cnc(O)nc1
CHEMBL266533,O=C1[C@@H](NS(=O)(=O)c2ccc(-c3ccc(Cl)s3)s2)CCN1Cc1cc2[nH]cccc-2n1
CHEMBL7978,CN(C)c1ncnc2c1ncn2Cc1ccc(O)cc1
CHEMBL8069,COc1ccc(Cl)c(C2(F)C(=O)Nc3c(C#N)cccc32)c1
CHEMBL8730,N=C(N)NCCC[C@@H](NCc1c[nH]c2ccccc12)C(N)=O
CHEMBL7386,Cc1cc([N+](=O)[O-])ccc1C(=O)OCC(O)CNC(C)(C)C
CHEMBL417243,c1ccc(COc2ccc(Cc3ccc(NC4=NCCN4)cc3)cc2)cc1
CHEMBL6984,CC(C)NCC(O)COC(=O)c1cccc2ccccc12
CHEMBL417426,Cc1ccnc(NCCCCCCC(=O)NC(CC(=O)O)c2cccc([N+](=O)[O-])c2)c1
CHEMBL6404,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)c(F)c1
CHEMBL269134,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)NCC(C)(C)C)C2)cc(OC)c1OC
CHEMBL6551,O=C(NCc1ccccc1)c1cc(-c2ccncc2)nnc1Cl
CHEMBL7977,CN(C)c1ncnc2c1ncn2C
CHEMBL273365,Oc1cccc(N/C(S)=N/c2ccccc2)c1
CHEMBL8815,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(C4CCCCC4)oc23)CC1
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL8326,C/C(=C/C(N)C(=O)O)CC(N)C(=O)O
CHEMBL475,C[C@H]1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O
CHEMBL7255,Oc1cnnc2nc3ccccc3n12
CHEMBL6959,CC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC
CHEMBL7027,O=C(c1cc2ccccc2[nH]1)c1cc2cc(OC(=O)C(c3ccccc3)c3ccccc3)ccc2[nH]1
CHEMBL7947,O=C1[C@@H](NS(=O)(=O)c2cc3c(Cl)nccc3s2)CCN1Cc1cc2[nH]cccc-2n1
CHEMBL266708,CC(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1
CHEMBL268195,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cc(F)c(F)cc2C1=O)CCCN1C(=O)c2cc(F)c(F)cc2C1=O.[Br-].[Br-]
CHEMBL267037,COc1ccc(CC(=O)O)cc1-c1ccc(Cl)cc1
CHEMBL8261,Cn1cc(C2=NCC3(CN4CCC3CC4)O2)c2cc(O)ccc21
CHEMBL9508,Cc1ccnc(NCCCCC(=O)NNC(=O)CC(CC(=O)O)c2cc(Cl)cc(Cl)c2)c1
CHEMBL8757,CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCCNS(=O)(=O)c2ccc(F)cc2)Cc2cc3c(cc2S1(=O)=O)OCCO3
CHEMBL9281,O=C(O)c1cc2c3cc(Cl)c(Cl)cc3nc(O)n2n1
CHEMBL275946,N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)Nc1ccc2c(CN3CCCC3)cn(Cc3ccc(F)cc3)c2c1)C(=O)NCc1ccccc1
CHEMBL7366,COC(=O)c1ccc(C(=O)Oc2ccc3c(c2)OC(C)(C)C=C3C)cc1
CHEMBL6970,Nc1nc(N)c2c(n1)CCC(Cc1ccccc1)C2
CHEMBL275516,CC1(C(=O)O)C2CCC(O2)C1(C)C(=O)O
CHEMBL9358,CC12NC(C3CCCCC31)[C@H](O)c1ccccc12
CHEMBL6281,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(O)cc4)nn3)[C@H]2S1(=O)=O
CHEMBL7909,Cn1c2ccccc2n2c(=O)c(-c3ccccc3)nnc12
CHEMBL6839,C/N=c1\ccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)ccc1O
CHEMBL263079,CCNc1cccc2c(S(=O)(=O)Nc3ncc(Br)nc3OC)cccc12
CHEMBL8446,CC(NC(=O)c1ccccc1)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
