inchikey,standard_type,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,assay_types,year_min,year_max,scaffold,split
SVTKBAIRFMXQQF-UHFFFAOYSA-N,EC50,CCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,CHEMBL4170268,6.7,6.7,6.7,,1,B,2021,2021,c1ccc2c(c1)COc1ccccc1-2,train
TUFJIDJGIQOYFY-UHFFFAOYSA-N,EC50,CCC(C)N=C=S,CHEMBL3593576,6.17,6.17,6.17,,1,B,2015,2015,,train
UBAXRAHSPKWNCX-UHFFFAOYSA-N,EC50,C=CCSSSCC=C,CHEMBL123040,6.31,6.31,6.31,,1,F,2010,2010,,train
UEPSNNTWMCXJDD-UHFFFAOYSA-N,EC50,CC(C)OC(=O)c1ccc2c(c1)C=Nc1ccccc1C2,CHEMBL1258208,6.03,6.03,6.03,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
UKNMSFRSBQONET-FMIVXFBMSA-N,EC50,CC(C)=CCC/C(C)=C/CNC(=O)C1CC1,CHEMBL3355308,4.08,4.08,4.08,,1,B,2014,2014,C1CC1,test
ULJYMNHMDLMTMC-JXMROGBWSA-N,EC50,O=C(/C=C/c1ccc(Br)cc1)Nc1ccccc1C(=O)O,CHEMBL4454519,4.93,4.92,4.94,0.0141421356237309,2,B,2019,2019,O=C(C=Cc1ccccc1)Nc1ccccc1,train
UNUCSCOAXFLFMO-XYOKQWHBSA-N,EC50,NC(=O)/C=C1/C(=O)N(CC2CCCC2)c2c(F)cccc21,CHEMBL1084376,6.18,6.18,6.18,,1,F,2010,2010,C=C1C(=O)N(CC2CCCC2)c2ccccc21,train
UVOLYTDXHDXWJU-UHFFFAOYSA-N,EC50,CCCCCc1cc(O)c2c(c1)OC(C)(CCC=C(C)C)C=C2,CHEMBL422704,7.05,7.05,7.05,,1,B,2021,2021,C1=Cc2ccccc2OC1,val
UWPBMRVJDVATFV-UHFFFAOYSA-N,EC50,N#Cc1ccc2c(c1)C=Nc1ccccc1C2,CHEMBL1256162,6.8,6.8,6.8,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
VANQOAFYCGMJFN-UHFFFAOYSA-N,EC50,O=C(Oc1cccc(Cl)c1)N1CCN(c2ncccc2C(F)(F)F)CC1,CHEMBL1079738,5.43,5.43,5.43,,1,F,2009,2009,O=C(Oc1ccccc1)N1CCN(c2ccccn2)CC1,train
