model,partition,RMSE,MAE,R2,Spearman
RF + Morgan-2048,0,0.6219217252139759,0.4714517024261284,0.5727198507781268,0.724172684316174
RF + Morgan-2048,1,0.6205654430582787,0.4697391654280537,0.5745814372776726,0.7243193156359792
RF + Morgan-2048,2,0.6246993356043881,0.47142251825155523,0.5688947133018327,0.721532703215728
XGB + Morgan-2048,0,0.6274827478640964,0.47940681377515243,0.5650444867747099,0.7199639172561741
XGB + Morgan-2048,1,0.6263527035031731,0.4692093580993838,0.5666097136567406,0.7271622679812435
XGB + Morgan-2048,2,0.6248932573178145,0.47422116103940454,0.568627020839461,0.7337554537573993
Mean baseline,0,0.9544009054257794,0.7580189392189651,-0.006243170854091318,-0.09137152872230084
Mean baseline,1,0.9528217704588733,0.757241317984867,-0.0029161010521028263,-0.05328414171871284
Mean baseline,2,0.9535469742815847,0.7576271006365426,-0.004443344442743191,-0.07553750242512644
