model,metric,scaffold_mean,random_mean,random_improvement,ci_low,ci_high,p_scaffold_permutation,n_compounds,n_scaffolds,n_partitions,bootstrap_iterations,permutation_iterations,seed,p_holm_within_model
RF + Morgan-2048,RMSE,0.6223955012922141,0.5708359307639509,0.05155957052826321,0.02987426502294218,0.07343876384729002,9.999000099990002e-05,1645,544,3,5000,10000,20260826,0.00029997000299970003
RF + Morgan-2048,MAE,0.47087112870191244,0.4207387149333836,0.05013241376852884,0.02942904086679016,0.07067574359701333,9.999000099990002e-05,1645,544,3,5000,10000,20260826,0.00029997000299970003
RF + Morgan-2048,R2,0.572065333785877,0.6400210076870287,0.06795567390115176,0.03932615523250504,0.10103789448050697,9.999000099990002e-05,1645,544,3,5000,10000,20260826,0.00029997000299970003
XGB + Morgan-2048,RMSE,0.6262429028950279,0.5723834860483182,0.053859416846709696,0.034007530394809526,0.07350463358474404,9.999000099990002e-05,1645,544,3,5000,10000,20260826,0.00029997000299970003
XGB + Morgan-2048,MAE,0.4742791109713136,0.4239252963814934,0.05035381458982019,0.032925680706197294,0.06726864528394236,9.999000099990002e-05,1645,544,3,5000,10000,20260826,0.00029997000299970003
XGB + Morgan-2048,R2,0.5667604070903034,0.6380751224589799,0.0713147153686765,0.0450497407428632,0.10204488033898793,9.999000099990002e-05,1645,544,3,5000,10000,20260826,0.00029997000299970003
