model,n_molecules,rho,p_value,ci_low,ci_high,partial_rho_controlling_potency
RF + Morgan-2048,1645,-0.17739838793379958,4.2574813246280466e-13,-0.24158403026037412,-0.11218582981090998,-0.13940493218784547
XGB + Morgan-2048,1645,-0.17679601230069,5.118733421641131e-13,-0.23979284040483007,-0.11130331615804763,-0.1386882801926101
